pubkey,Totalrewards,proposalcreation,voting,callparticipation,raffle,totalproposalparticipation,communitypropcreatorpassed,depositedvotes,alltimerewards,baseline,elgible,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesagainst,rewards
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,105719,,10526,35193,60000,2,0,1914198,1548034.24,1083623.97,TRUE,1,0,1707661409,1708447165,3554911,3554911,0,0,0,2,0,143485
eahJjUAWibVvG283fPjxiTmRrZGbP4jHDwWVYAjoR98,104469,50000,10526,43943,,2,1,907140,500247,350172.9,TRUE,0,0,1707854444,1708447165,920058,920058,0,0,0,0,0,500247
JCzcVnhPyjefCsmfnEX3nTqR3e16qgxN4fyZHDAAHDsb,92246,,10526,51720,30000,2,0,1252427,996758.53,697730.97,TRUE,0,0,1707854444,1708447165,2061650,2061650,0,0,0,0,0,260804
KirkNf6VGMgc8dcbp5Zx3EKbDzN6goyTBMKN9hxSnBT,70996,,10526,60470,,2,0,2439380,1850408.9,1295286.2,TRUE,1,100,1707661409,1708447165,4578956,4578956,0,2,2,2,0,204104
FDw92PNX4FtibvkDm7nd5XJUAg6ChTcVqMaFmG7kQ9JP,70996,,10526,60470,,2,0,2941479,1996618.400001,1397632.880001,TRUE,0,380,1707854444,1708447165,5498404,5498404,0,0,0,0,0,231479
9f8uuHm4VFzsHnBoCUZxF2cuQJzJteX4tzAqL1sPsqXQ,70996,,10526,,60470,2,0,1658536,1222505.320002,855753.724001,TRUE,0,0,1707854444,1708447165,2917218,2917218,0,0,0,0,0,239129
6aJo6zRiC5CFnuE7cqw4sTtHHknrr69NE7LKxPAfFY9U,70996,,10526,,60470,2,0,96162,73614,51529.8,TRUE,0,65,1707854444,1708447165,141702,141702,0,0,0,0,0,50622
5v8MVwCZURAqL4A93vfYCcJ3KBMiuyanc5ZGdZ8TkEQz,70526,,10526,,60000,2,0,54027,18352,12846.4,TRUE,0,0,1707854444,1708447165,94569,94569,0,0,0,0,0,13485
AZpn1dn3VbLdFe2JfbHe9JmUP7NX2roYyzNwKbDZqqvz,67526,50000,10526,7000,,2,1,1340605,926755.240001,648728.668001,TRUE,0,0,1707854444,1708447165,2290625,2290625,0,0,0,0,0,217035
rxeTLDCNnk2NFKfbpgfr2zMR8Q9wwKhrvttToptBTAP,48303,,10526,7777,30000,2,0,787294,742935.285004,520054.699503,TRUE,0,0,1707854444,1708447165,1516591,1516591,0,0,0,0,0,48757
57wq4R1cNeAS2piyXufzhppumPaMHpkQdBkJcweebCqb,46496,,10526,,35970,2,0,739186,658966.24,461276.37,TRUE,0,0,1707854444,1708447165,1015450,1015450,0,0,0,0,0,268272
248r9HpcRbJWNLWAgxzkdvH9a3Sw29mcKsxHAqxo75fA,43943,,0,43943,,0,0,1761026,1256322.44,879425.71,TRUE,1,0,1707661409,1708266674,0,0,0,0,0,2,0,203709
GeEwbHS5BGdcm3p45tt4NgiW97HYpkk5P9NsJ64kKWxZ,40526,,10526,,30000,2,0,21196,21196,14837.2,TRUE,0,0,1707854444,1708447165,42392,42392,0,0,0,0,0,0
Dn99VxMviV8FhGFFwyv7n293UFiasCu1FKRSQZhEKg61,40526,,10526,,30000,2,0,58485,13485,9439.5,TRUE,0,0,1707854444,1708447165,103485,103485,0,0,0,0,0,13485
GPXiHb4tKGX9zntTmcLipujndnN8ZB6bVSHjLHagMbyc,39886,,10526,29360,,2,0,225019,197033,137923.1,TRUE,0,0,1707854444,1708447165,379661,379661,0,0,0,0,0,53877
6W4mspuuDvGok2dVZYkLQJxFAGzceKmfHRUTURjnii9B,28193,,,28193,,0,0,2301534,1377198.9,,,0,0,null,null,0,0,0,0,0,0,0,198118
9prsXkpLJNmzTF5Wq6hBE2jAfkJzrAGHNaw4u38Y5Uov,28026,,10526,,17500,2,0,312000,342705,239893.5,TRUE,0,0,1707854444,1708447165,460043,460043,0,0,0,0,0,210841
Bw3ThDvrwnXkkETcDSC3GkcFbra7qc1aeGKR6S6F2ke2,11096,,5263,,5833,1,0,589209,395337.24,276736.07,TRUE,0,0,1707854444,1707854444,506484,506484,0,0,0,0,0,82725
6Ff6Wmt1Kh4V7Nrbn1tvPcy8PUhDqhM1tdiYZjeUEkA4,11096,,5263,,5833,1,0,1098177,98438.10999900000,68906.67699930000,TRUE,0,0,1707854444,1707854444,1084692,1084692,0,0,0,0,0,13485
DxvWEDKaUAMBwHVF22kCxG2jRWgMLdcWWUVdDjY9EJrH,10526,,10526,,,2,0,412230,133995.53,93796.87,TRUE,0,0,1707854444,1708447165,815470,815470,0,0,0,0,0,8990
