pubkey,Total Rewards,Proposal Created & passed,Bonus,"Total Rewards P1, P2",P3 Calls Active,P3 Calls Participating,P3 Calls Raffle,Total Calls Rewards,totalproposalscreated,communitypropcreatorpassed,depositedvotes,alltimerewards,DNQ,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalcouncilvotes,CommunityVotes,Voting Reward,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,198461.24,,170.4,16545.24,61916,8,120000,181916,0,0,1065672,749508,0,1,0,1693768391,1696969888,3988566,3988566,0,6,2,4,16374.84,6,0,0,0,2,0,77061
KirkNf6VGMgc8dcbp5Zx3EKbDzN6goyTBMKN9hxSnBT,267295.24,,170.4,16545.24,160750,12,90000,250750,0,0,1951317,758126.66,0,1,76,1693768391,1696969888,7774148,7774148,0,6,2,4,16374.84,6,0,1,1,2,0,215560
248r9HpcRbJWNLWAgxzkdvH9a3Sw29mcKsxHAqxo75fA,235701.53,50000,170.4,62451.53,143250,12,30000,173250,1,1,673506,218812.91,0,1,10,1694025761,1696969888,2020518,2020518,0,5,2,3,12281.13,5,0,0,0,2,0,0
4LAUqfwKXyUrKeBoEpphozvNMgnT3DhYjU3tohGeArjd,16545.24,,170.4,16545.24,,,,0,0,0,92877,50481,0,0,0,1693768391,1696969888,346400,346400,0,4,0,4,16374.84,4,0,0,0,0,0,12554
4V1ahWggQghQUhifW2ryoNoEa1jf3uS68Pxrydp4xnGX,16545.24,,170.4,16545.24,,,,0,0,0,12412,21814,0,0,9547,1693768391,1696969888,49648,49648,0,4,0,4,16374.84,4,0,0,0,0,0,9547
57wq4R1cNeAS2piyXufzhppumPaMHpkQdBkJcweebCqb,92211.24,,170.4,16545.24,45666,7,30000,75666,0,0,89370,64151,0,0,0,1693768391,1696969888,298358,298358,0,4,0,4,16374.84,4,0,0,0,0,0,29561
6G8EPXXQJJ2TffR3idAYEFjRJGLpQUoEgMQTdTty38V4,76545.24,,170.4,16545.24,,7,60000,60000,0,0,133621,72154,0,0,0,1693768391,1696969888,503362,503362,0,4,0,4,16374.84,4,0,0,0,0,0,15561
6W4mspuuDvGok2dVZYkLQJxFAGzceKmfHRUTURjnii9B,224795.24,,170.4,16545.24,178250,13,30000,208250,0,0,1686346,385211.66000000000,0,0,0,1693768391,1696969888,6409234,6409234,0,4,0,4,16374.84,4,0,0,0,0,0,168060
9f8uuHm4VFzsHnBoCUZxF2cuQJzJteX4tzAqL1sPsqXQ,150961.24,,170.4,16545.24,74416,12,60000,134416,0,0,727850,291819.080002,0,0,0,1693768391,1696969888,2548278,2548278,0,4,0,4,16374.84,4,0,0,0,0,0,131561
AZpn1dn3VbLdFe2JfbHe9JmUP7NX2roYyzNwKbDZqqvz,45295.24,,170.4,16545.24,28750,6,,28750,0,0,463774,159926.000001,0,0,0,1693768391,1696969888,1335884,1335884,0,4,0,4,16374.84,4,0,0,0,0,0,59561
Bw3ThDvrwnXkkETcDSC3GkcFbra7qc1aeGKR6S6F2ke2,76545.24,,170.4,16545.24,,3,60000,60000,0,0,229877,61095,0,0,36540,1693768391,1696969888,919508,919508,0,4,0,4,16374.84,4,0,0,0,0,0,36540
By7UySnEdV1wgady2acLZemc4H3B1eUQTTW5n8wiZjpG,16545.24,,170.4,16545.24,,,,0,0,0,83681,16166,0,0,0,1693768391,1696969888,324125,324125,0,4,0,4,16374.84,4,0,0,0,0,0,3533
F11eNdMU6v4aDaoqJAPHNfqoKJaKzqDbY3sTBSVwKo1d,16545.24,,170.4,16545.24,,,,0,0,0,152619,52502,0,0,0,1693768391,1696969888,610476,610476,0,4,0,4,16374.84,4,0,0,0,0,0,15561
FDw92PNX4FtibvkDm7nd5XJUAg6ChTcVqMaFmG7kQ9JP,304795.24,50000,170.4,66545.24,178250,13,60000,238250,3,3,2676719,687562.160001,0,0,47306,1693768391,1696969888,10706876,10706876,0,4,0,4,16374.84,4,0,0,0,0,0,215560
HpGHMDw78W96R112EEi2G34eDrz9eh8TQqTj7k4mUfLh,16545.24,,170.4,16545.24,,,,0,0,0,58477,23357,0,0,0,1693768391,1696969888,205267,205267,0,4,0,4,16374.84,4,0,0,0,0,0,9547
5cvX5RGXCbX12Rso1UCTFFDdzgN9W7jMTHCDzKAthmuo,12451.53,,170.4,12451.53,,,,0,0,0,33344,54885,0,0,0,1693768391,1695759568,100032,100032,0,3,0,3,12281.13,3,0,0,0,0,0,9547
AxSv4XsSeWisFhSq7C8MA1TV5BErjDi5K4zze6HPJy8F,12451.53,,170.4,12451.53,,,,0,0,0,564895,97729,0,0,0,1693768391,1696969888,1682131,1682131,0,3,0,3,12281.13,3,0,0,0,0,0,12554
DxvWEDKaUAMBwHVF22kCxG2jRWgMLdcWWUVdDjY9EJrH,12451.53,,170.4,12451.53,,,,0,0,0,314038,85803,0,0,0,1693768391,1696969888,910992,910992,0,3,0,3,12281.13,3,0,0,0,0,0,15561
JCzcVnhPyjefCsmfnEX3nTqR3e16qgxN4fyZHDAAHDsb,31201.53,,170.4,12451.53,18750,9,,18750,0,0,318299,62640,0,0,10,1694025761,1696969888,872268,872268,0,3,0,3,12281.13,3,0,0,0,0,0,48540
4DS5QkBvHHnnuoRYop7jaHbnrpvg75w83Jhg3PMvK9KV,8357.82,,170.4,8357.82,,,,0,0,0,35278,17839,0,0,25533,1693768391,1694025761,70556,70556,0,2,0,2,8187.42,2,0,0,0,0,0,0
5nFVtrhHXyaMBFHhXFYfLmNfbgUWuToy2q4LDpRrWU7N,8357.82,,170.4,8357.82,,,,0,0,0,74338,10598,0,0,6540,1694025761,1696969888,148676,148676,0,2,0,2,8187.42,2,0,0,0,0,0,6540
727MvuZATPGnd83H87a2MCubzv2DniHnertC4jxKFeDX,8357.82,,170.4,8357.82,,,,0,0,0,112117,16937,0,0,9547,1693768391,1695759568,224234,224234,0,2,0,2,8187.42,2,0,0,0,0,0,9547
B1cNA6QBuKyvPk2qvU5cfpqEDcTzaWdvuhUKJDn3uzNy,8357.82,,170.4,8357.82,,,,0,0,0,120097,17370,0,0,0,1694025761,1696969888,240194,240194,0,2,0,2,8187.42,2,0,0,0,0,0,0
B6Fc8hnuz3h3q3RHCK6CrB8L547QJWTB3XQAyDhTx6YW,8357.82,,170.4,8357.82,,,,0,0,0,42178,5918,0,0,0,1695759568,1696969888,84356,84356,0,2,0,2,8187.42,2,0,0,0,0,0,0
EjSQWTKV56T5212EkqfipLCrAcZaTyiapCFVJyLDetxL,8357.82,,170.4,8357.82,,,,0,0,0,28178,21121,0,0,0,1693768391,1694025761,31248,31248,0,2,0,2,8187.42,2,0,0,0,0,0,12554
3owSReeJeiYSZSM6GLC64kpiuRTMtKkm1Zh1DnJ25v5Z,4264.11,,170.4,4264.11,,,,0,0,0,63387,5925,0,0,400,1696969888,1696969888,63387,63387,0,1,0,1,4093.71,1,0,0,0,0,0,0
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,0,,170.4,4264.11,,,,0,0,0,0,468277.210004,1,0,403490,1693768391,1693768391,2057929,2057929,0,1,0,1,4093.71,1,0,0,0,0,0,45561
3UZr12QqZF9aHH1t6BzmghjYaJ7k8z9Jijp2VzdYX1Vm,4264.11,,170.4,4264.11,,,,0,0,0,355360,37546,0,0,9547,1694025761,1694025761,355360,355360,0,1,0,1,4093.71,1,0,0,0,0,0,9547
6Ff6Wmt1Kh4V7Nrbn1tvPcy8PUhDqhM1tdiYZjeUEkA4,4264.11,,170.4,4264.11,,2,,0,0,0,1040030,55824,0,0,15533,1694025761,1694025761,1040030,1040030,0,1,0,1,4093.71,1,0,0,0,0,0,3533
8ajdd45B5PpSnmqrk5CuUaqrBrLrqp8WrcA1aRbmyhvv,4264.11,,170.4,4264.11,,,,0,0,0,205039,28562,0,0,0,1696969888,1696969888,205039,205039,0,1,0,1,4093.71,1,0,0,0,0,0,12554
9WW4oiMyW6A9oP4R8jvxJLMZ3RUss18qsM4yBBHJPj94,4264.11,,170.4,4264.11,,,,0,0,0,214723,21833.000001,0,0,0,1693768391,1693768391,214723,214723,0,1,0,1,4093.71,1,0,0,0,0,0,3533
BcgYRPQC4mE3e195FmTx4mspmGbDx5xdcdKuLwNG89ov,4264.11,,170.4,4264.11,,,,0,0,0,680388,487604.999955,0,0,0,1693768391,1693768391,673848,673848,0,1,0,1,4093.71,1,0,0,0,0,0,6540
Ev7kp4NfhVjvUqKMwhKCcvXRb2t828gDaSqWsD2gtPzT,0,,0,0,,,,0,0,0,5,77550,1,0,0,1693768391,1694025761,9140,4570,4570,2,0,2,0,1,1,0,0,0,0,0
H5rKvWtEEezASi3swrRJhBWLCJvFKTQHLjYbQUKQutkn,4264.11,,170.4,4264.11,,,,0,0,0,500,0,0,0,0,1693768391,1693768391,500,500,0,1,0,1,4093.71,1,0,0,0,0,0,0
HTBKowBM1CMVS2F1EGBibiyTLoGn2hh7h6DuDPtwS37W,14264.11,,170.4,4264.11,10000,5,,10000,0,0,11230,0,0,0,0,1696969888,1696969888,11230,11230,0,1,0,1,4093.71,1,0,0,0,0,0,0
GeEwbHS5BGdcm3p45tt4NgiW97HYpkk5P9NsJ64kKWxZ,0,,,0,,2,,0,,,,,,,,,,,,,,,0,0,,,,,,,
JCkH1jkqHrbJeXndvAXAswW3PhC3vKzovy58ZdetTEqL,14264.11,,170.4,4264.11,10000,1,,10000,0,0,2691606,55058,0,0,0,1696969888,1696969888,2691606,2691606,0,1,0,1,4093.71,1,0,0,0,0,0,0
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,4264.11,,170.4,4264.11,,,,0,0,0,145904,22121.715001000000,0,0,0,1695759568,1695759568,145904,145904,0,1,0,1,4093.71,1,0,0,0,0,0,0
