pubkey,totalproposalscreated,communitypropcreatorpassed,depositedvotes,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesfor,totalcouncilvotesagainst,rewards,alltimerewards
73Z1WZL5JsbU5SVh43DCXhf3Dis1F2fx1FqihSm5zKhQ,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,8380
FDw92PNX4FtibvkDm7nd5XJUAg6ChTcVqMaFmG7kQ9JP,4,4,2507811,0,0,1684576822,1687364522,34470869,34470869,0,14,14,0,0,0,0,0,0,125936,275316.500001
CFjge9uufEyF8Tz1kz9mvAL8VnxWJBXQv81JH599WtuF,0,0,0,0,34,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
8jhxB5SUMBkLWtyiaJfEds78vsLstVnhysf7gofLLg43,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,225
5cvX5RGXCbX12Rso1UCTFFDdzgN9W7jMTHCDzKAthmuo,0,0,33344,0,0,1685294598,1687289398,233408,200064,33344,7,6,1,0,0,0,0,0,4989,29242
9odBX3hiSVBG8VYacAPEhqTjVY3aCCpkFz2RiFaRA3uR,0,0,350141,0,4989,1685481673,1687099823,1050423,0,1050423,3,0,3,0,0,0,0,0,4989,56439
AksHjbcNDLYwerSJDSwN62xMoR2oCbPy4LTZoxb1rBot,0,0,0,0,1420,null,null,0,0,0,0,0,0,0,0,0,0,0,0,22955
FuXhp8cXQ6kWWipLjyTi1DxPcp2Vo6441VmBz2fbo4sx,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
6DADojjAUEPWnPWAKbdwnNLRCEWfqzdcSCUiZCSjyC8D,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
7XRMVGHZdAu2vMaY1wG3SNFSua9PaN5dxNN1iokZ5tSx,0,0,0,0,103,null,null,0,0,0,0,0,0,0,0,0,0,0,0,835
FP5knkMJKxqM7YiLMxyyRowuegaNsEGghbMmW4zat9EW,0,0,52373,0,2609,1687099823,1687099823,52373,52373,0,1,1,0,0,0,0,0,0,2609,45648
Cq6PxbiSUTpgoWpG2hSJYG6oF6pkGCGx2Ni35AVBTqkC,0,0,0,0,3129,null,null,0,0,0,0,0,0,0,0,0,0,0,0,465
CcgJm67J2QH433jm9FMhLJg66qZXN36m13otScKfy1mU,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,43852.739631
E9sYvLtary49LMDPxrGk9Vu9BqppdoU8qeW1ByPAdU6z,0,0,2,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
5ANdHqaZsiy82bhgfQ771H74b6SFyRaj6Cfw2vjCDbrN,0,0,1691,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,520
3PPjZVCpJw4YA7Z918aux6uNwbMuK9EXtjv9nwwSR1bF,0,0,117,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
7pPJt2xoEoPy8x8Hf2D6U6oLfNa5uKmHHRwkENVoaxmA,0,0,1472388,0,0,1685294598,1686362943,2944776,2944776,0,2,2,0,0,0,0,0,0,4989,283902.57000700006
4DGGdhtbD5G6FN33kiPE4ddr28z7jJmHT8AUBUUM86AQ,0,0,0,0,1788,null,null,0,0,0,0,0,0,0,0,0,0,0,0,225
96YK8Q7vDVvZAZUwkKNqYajwP4BfHw3Q5oT33w9YMLdj,0,0,226,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
A4zJGA5enYes3xjmz6h4mFe2Joojwn2ybf6v2ZKUSTAX,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,76477.50001599999
2BD785THVpxGZqufB7NUgYC6zELD6dpiuqt19PCki1U6,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
5u6smEjMFFNdmb7oBauLA3j4ZcEnC5tzc2mrh6Dh5wLj,0,0,1830,0,1270,null,null,0,0,0,0,0,0,0,0,0,0,0,0,10134.62799
911Wg8TP44ZLYtBXna3hz6k9Q4kYZzDHh24LTijo2TKS,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
GQFSF6rj3vBrSEaa9C5nhSnfqyh2MBMrdqkRATAoieV2,0,0,0,0,1276,null,null,0,0,0,0,0,0,0,0,0,0,0,0,225
5kKNvp9KSAC7fdGS9GawaV4XVEtMgrSnt3M32X7pYz7A,0,0,1729,0,3310,null,null,0,0,0,0,0,0,0,0,0,0,0,0,465
5EWZJyrBXCmxdr8S6d5k9xTdTcUoVidoiU1UUF9CdB7g,0,0,499,0,2609,null,null,0,0,0,0,0,0,0,0,0,0,0,2609,122580.312501
MAZt9R5E8BywXCDJXs6jz31dcntasEGJ4LQ1QtdDH13,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,17630
B3D8Wywdr4ncQWjGg93Uy1VfgXsLVuXawEdhrJWCg7WT,0,0,0,0,4,null,null,0,0,0,0,0,0,0,0,0,0,0,0,67680.286709
Dn7KxU39JYhJ2uD8gTmuNN3mKhypzJvG4EqiU6gfPMsY,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2785
96tq9QEc8qhyy7g5iA97SH8N1T9cMXAMQN6C2ycDcrm5,0,0,22,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
C5q4tYiDzjJnikeVTBKFV3Xqp9eQ3jhZ6U4Esgrnuxih,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
D727PgWtzMMQnDiUqPA5BhrcC1HCyshegKqFK5wseAcE,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,320
4NH36qXE39t8ovfdfrT9pdpJYouJ5tYah9qajuHQQqoB,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2090
2YxHRtQJ914rQkxqyFYC1VxfpJWMZHLqc7SAMPVjipRv,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1100
DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA,0,0,10,0,0,1684954550,1684954550,10,10,0,1,1,0,0,0,0,0,0,0,48072
3K5o38rp2xswi4wuHSmmdqQbFd4btDyMzoSBfX4DDuw7,0,0,0,0,11475,null,null,0,0,0,0,0,0,0,0,0,0,0,0,29784.1875
Hzbi4V5ZrQKxV8rLwzmSsPgGjLTk3Ka3cz4qEpFx6vTw,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2100
8Q5KkYJR1e7Zo1fF8sUm61UH1HrnV4sT3p853WKPWLQj,0,0,0,0,444,null,null,0,0,0,0,0,0,0,0,0,0,0,0,40292.500003999994
GmzqsoTC1XyWHkJe79skc49Ed5FynKZSSJh3d2z1Zqch,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1100
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,0,0,102304,0,43600,null,null,0,0,0,0,0,0,0,0,0,0,0,0,22121.715001000004
HLAKLNXSqNZskku5EcvkeVi87cyatnYmQDh8jn3XcypC,0,0,6321,0,1210,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2100
HDfZHgXeEyDMCT6TEepeeUBVJQE8iLTvmVFoXG2uHdXs,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,2425
7gLx38a9pdfaQufmHvv4cPhgtSeyfbccty9p5CpTZaZA,0,0,46,0,147,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
4SwCmGSQWMZRdtZec2QVGxup48AFDotAhymEux5Ks2gi,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
5xZsowohCtUqCPNwiuPbLYjMGsUqPmMQESwLxXJnryHW,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,110
By7UySnEdV1wgady2acLZemc4H3B1eUQTTW5n8wiZjpG,0,0,76800,0,0,1685294598,1687099823,153600,153600,0,2,2,0,0,0,0,0,0,0,9285
5cpg72CPjpLWy5rwEhhr8KgyPHLUts82WZ1iLoCd4xBg,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,110
AM7Quc1ppXUpgHXhWr5mXJVXoyAaTcY5942ULPMaDR8q,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,4405
xhJyLExWG5ka6HwNiYH7Rd41JZBAqBoa44JSDNAeiiA,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,46182
5pJ89aofV4nP5eaJfpvvChkuce7NEUQVf31ckLCXTymg,0,0,0,0,79792,null,null,0,0,0,0,0,0,0,0,0,0,0,0,11330
248r9HpcRbJWNLWAgxzkdvH9a3Sw29mcKsxHAqxo75fA,0,0,601969,1,0,1684576822,1687130916,2950107,2950107,0,6,6,0,0,0,1,1,0,29869,147276.25
8djD77wbxqJCCesESU7EgPJsk4tq7KGDi5EQgXon6H49,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,7405
Hew6XJcEjQAx2Pi4GWogr68dmbST24g9xtumKBqvhkdL,0,0,0,0,54449,null,null,0,0,0,0,0,0,0,0,0,0,0,0,3355
61ZsQ6ruqSCiyhMPCYPLoPekxekQfrb7VqWDTnUnVPfS,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
AKXcMJWahV5J4FUbXiMuobr6QTVg6D4cZxHoCqwc7AoP,0,0,0,0,8509,null,null,0,0,0,0,0,0,0,0,0,0,0,0,165
Hjbf2kgBEzHf6j4bRZ4DDaVXzRhBm8Tr82ttNRLTFuuZ,0,0,60003,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,59217.08969899998
55RPYGrfzaBctai7nSw2QgoJL3bMzKvihtiDpVcJLFWe,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,470
HDdW6JWkCKqzU4v8Z1PxBMh5etEdz5wjJyCKoT9Cp6uJ,0,0,1000,0,3000,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1100
PzHMB8WqPHZJ2hxHGx1nqiLrVrsf9DkGa3RwVYvzWHt,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,35552
F4RncFEP3r6sQojn1KVF2ya6FoZkyLV3Gyg5Taw1UYXR,0,0,1160,0,9035,null,null,0,0,0,0,0,0,0,0,0,0,0,0,370
E6R3GmKBJNLcV35MctoyWmaLDixsn9pWaGavvixzJAHD,0,0,0,0,1000,null,null,0,0,0,0,0,0,0,0,0,0,0,0,19137.3125
J1ekBJffrhumo67tx7UtBBQAuNWgoN13FCxDQCKjjjvG,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,60
4ULth11nsRntrLb3TjaUHPAr2NWF2jDPWjYEkCkGFcF2,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
rxeTLDCNnk2NFKfbpgfr2zMR8Q9wwKhrvttToptBTAP,1,0,700948,0,0,1684576822,1687364522,6972054,6972054,0,11,11,0,0,0,0,0,0,43796,245100.28500400003
7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,0,0,36903,0,43309,null,null,0,0,0,0,0,0,0,0,0,0,0,2609,13765
J7H8PcofiRvWYwGhhSy9iFbSAaYUu34ovTXXbL2K37tM,0,0,450,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,54505.8125
