Wallet,VINE,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Rewards Participation,Raffles
248r9HpcRbJWNLWAgxzkdvH9a3Sw29mcKsxHAqxo75fA,8,A,A,A,A,A,A,A,A,,,56723,30000
57wq4R1cNeAS2piyXufzhppumPaMHpkQdBkJcweebCqb,4,A,,A,,,A,,,,P,19196,30000
5cf9XyxMYoPNraRHZkSWN6LrarwnEFLVruaVCV8gMXUo,1,,,,,,,,,,A,11666,
5mcUDGBZVzirxmko3N65UNyGimMhehGvZYBaL1hhczEC,7,P,P,,,P,P,P,,P,P,,
5v8MVwCZURAqL4A93vfYCcJ3KBMiuyanc5ZGdZ8TkEQz,9,A,P,P,P,P,P,P,,P,P,6364,30000
6aJo6zRiC5CFnuE7cqw4sTtHHknrr69NE7LKxPAfFY9U,10,A,A,A,A,A,A,A,P,A,A,75389,
6G8EPXXQJJ2TffR3idAYEFjRJGLpQUoEgMQTdTty38V4,7,P,P,P,P,P,P,P,,,,,
6W4mspuuDvGok2dVZYkLQJxFAGzceKmfHRUTURjnii9B,9,A,A,A,A,A,A,A,A,,A,68389,30000
9f8uuHm4VFzsHnBoCUZxF2cuQJzJteX4tzAqL1sPsqXQ,10,A,P,P,A,P,A,P,A,P,P,29117,
9prsXkpLJNmzTF5Wq6hBE2jAfkJzrAGHNaw4u38Y5Uov,9,P,P,A,P,P,P,P,A,,P,12832,
AZpn1dn3VbLdFe2JfbHe9JmUP7NX2roYyzNwKbDZqqvz,5,P,,,P,P,,P,,,P,,30000
Bw3ThDvrwnXkkETcDSC3GkcFbra7qc1aeGKR6S6F2ke2,4,P,A,A,,,,A,,,,44862,
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,6,A,,A,P,,A,,P,A,A,63998,60000
Dn99VxMviV8FhGFFwyv7n293UFiasCu1FKRSQZhEKg61,9,P,P,P,P,P,P,P,,P,P,,
eahJjUAWibVvG283fPjxiTmRrZGbP4jHDwWVYAjoR98,8,A,A,A,A,A,P,A,A,A,A,75389,
FDw92PNX4FtibvkDm7nd5XJUAg6ChTcVqMaFmG7kQ9JP,10,A,A,A,A,A,A,A,A,A,A,82389,
GeEwbHS5BGdcm3p45tt4NgiW97HYpkk5P9NsJ64kKWxZ,7,P,P,P,,,P,P,,P,P,,
GgnepE7qk1PUXef7aLd9wXrDghA1AWM7m2gsYfu2p6uo,3,,,,P,P,P,,,,,,
GPXiHb4tKGX9zntTmcLipujndnN8ZB6bVSHjLHagMbyc,1,P,,,,,,,,,,,30000
i7HdjbyqnqEDpQPynnsMYGAep64Ss6sJbrrtxteFZHL,7,P,P,P,P,,P,P,,,P,,
J7Bn93NHa5hRARzwi45YDn6ksgRdMScvvU7CXDFf68Z6,5,,,P,P,P,,P,P,,,,
JCzcVnhPyjefCsmfnEX3nTqR3e16qgxN4fyZHDAAHDsb,10,A,P,P,P,A,P,P,A,P,P,21141,
KirkNf6VGMgc8dcbp5Zx3EKbDzN6goyTBMKN9hxSnBT,10,A,A,A,A,A,A,A,A,A,A,82389,
rxeTLDCNnk2NFKfbpgfr2zMR8Q9wwKhrvttToptBTAP,5,,A,P,,P,A,P,,,,14000,
6Ff6Wmt1Kh4V7Nrbn1tvPcy8PUhDqhM1tdiYZjeUEkA4,2,,,,,,,P,A,,,7000,
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,4,,,,,A,,A,A,,P,21777,
Reward per call active,170,6364,7000,5832,8750,7777,7000,7000,7000,14000,11666,,
Total,,,,,,,,,,,,692621,240000
